   Time&Date           |Spi_content
-----------------------|----------------------------------------------

[2023-06-07 23:56:25]  |408880

[2023-06-08 18:30:52]  |68 69 20 62 72 6F 0A 
[2023-06-08 18:31:07]  |61 0A 
[2023-06-08 18:35:30]  |67 6F 6F 64 20 6D 6F 72 6E 69 6E 67 0A 
[2023-06-08 18:40:34]  |34 38 0A 
[2023-06-08 18:40:56]  |32 37 35 0A 
[2023-06-08 18:41:40]  |31 0A 
[2023-06-08 18:48:12]  |31 0A 
[2023-06-08 18:49:06]  |31 32 30 0A 
[2023-06-08 18:50:24]  |408880
[2023-06-08 19:10:14]  |408880
[2023-06-08 19:59:56]  |408880
[2023-06-08 20:00:25]  |
[2023-06-09 11:28:10]  |68 69 20 72 72 72 0A 
[2023-06-09 11:28:26]  |31 32 0A 
[2023-06-09 11:33:24]  |31 32 38 0A 
[2023-06-09 11:34:15]  |31 32 0A 
[2023-06-09 11:41:47]  |41 0A 
[2023-06-09 11:42:04]  |31 32 0A 
[2023-06-09 11:42:28]  |31 32 38 0A 
[2023-06-12 15:46:26]  |31 0A 
[2023-06-12 15:46:38]  |31 32 33 0A 
[2023-06-12 15:46:49]  |37 38 39 0A 
[2023-06-12 15:47:03]  |37 38 39 0A 
[2023-06-12 15:47:14]  |31 0A 
[2023-06-12 15:47:25]  |68 69 20 72 6F 68 61 6E 0A 
[2023-06-12 15:47:57]  |61 62 63 64 65 66 67 68 6A 6B 6C 6D 0A 
[2023-06-17 16:06:59]  |48 69 20 67 6F 6F 64 20 65 76 65 6E 69 6E 67 0A 
[2023-06-17 16:07:43]  |31 32 33 0A 
[2023-06-17 16:08:45]  |4F 58 20 30 31 0A 
[2023-06-17 16:09:01]  |30 58 30 31 0A 
[2023-07-04 22:54:21]  |123

[2023-07-04 23:13:54]  |55

